calving,daysrec,ck,ast,urea,pcv,inflamat,myopathy,outcome
after,2,2670,130,7.2,NA,NA,absent,died
after,2,1170,107,8.2,NA,NA,absent,died
before,0,4425,317,6.6,NA,NA,NA,died
after,1,1302,237,4.6,NA,NA,NA,survived
after,0,1041,527,3.4,NA,NA,NA,died
after,2,5467,680,19.5,NA,NA,present,died
after,2,850,137,8.5,NA,NA,absent,survived
after,0,810,110,8.8,34,no,NA,survived
after,4,1600,500,3.5,29,yes,absent,died
after,0,570,120,7.6,37,no,NA,survived
after,1,612,110,9.1,36,no,NA,died
before,0,130,87,4.5,NA,NA,NA,survived
after,4,5700,580,27.8,35,yes,absent,died
after,0,350,67,3.9,33,yes,NA,survived
after,0,2864,270,12.7,46,yes,NA,died
after,1,2343,130,4.4,36,no,NA,died
before,1,3254,323,4.9,26,yes,NA,died
before,0,160,60,4.9,NA,NA,NA,survived
after,0,170,97,5.6,NA,NA,NA,survived
before,3,5100,160,5.4,NA,NA,absent,survived
after,2,4300,320,2.3,NA,NA,absent,died
after,0,390,80,5.8,33,yes,NA,survived
after,1,460,97,6.7,38,yes,NA,died
after,4,24100,1700,18,NA,NA,present,died
after,0,980,73,7.1,NA,NA,NA,survived
after,1,1800,140,4.3,41,yes,NA,survived
before,1,330,67,3.8,NA,NA,NA,died
after,0,98,67,6.2,NA,yes,NA,survived
after,0,72,50,6.3,31,NA,NA,survived
after,7,260,297,3.8,38,yes,absent,died
after,7,200,177,4.1,29,yes,absent,died
after,0,520,157,15.3,43,yes,NA,died
after,3,39000,1133,28.8,38,yes,present,died
after,2,1822,193,9.5,45,yes,absent,died
after,0,NA,NA,NA,48,no,NA,died
after,2,2603,150,10.3,NA,NA,absent,died
after,5,3644,567,6,29,NA,absent,died
after,8,NA,600,5,NA,NA,NA,died
after,0,2096,120,12.9,NA,NA,NA,died
before,0,1497,73,21,NA,NA,NA,survived
after,1,350,237,11.5,40,yes,NA,died
after,0,905,237,11.1,38,no,NA,died
after,0,436,137,29,41,yes,NA,died
after,0,NA,154,NA,37,yes,NA,survived
after,4,NA,437,4.3,40,yes,NA,died
after,1,NA,157,9.4,39,yes,NA,died
after,2,9100,193,10.2,38,yes,absent,died
before,2,677,83,5.4,29,yes,absent,died
after,0,1041,157,14.6,NA,NA,NA,survived
before,0,202,52,7.1,32,yes,NA,died
after,1,16791,720,25.9,44,yes,present,died
after,3,5857,773,13,37,yes,present,died
after,0,1300,180,10.8,NA,NA,NA,died
after,1,7810,810,32.5,NA,NA,present,died
before,0,1041,160,17.2,26,yes,NA,died
after,1,447,90,4.9,29,yes,NA,survived
after,4,700,277,6.5,NA,NA,absent,died
after,3,287,133,6.8,NA,NA,absent,survived
before,0,3085,143,6.7,NA,NA,NA,survived
after,2,26020,613,7,NA,NA,present,died
after,0,130,100,7.6,40,NA,NA,survived
after,0,NA,NA,23,31,yes,NA,survived
after,6,1627,600,30.4,NA,NA,absent,died
after,0,428,116,8.4,NA,NA,NA,survived
after,0,2940,92,11.1,NA,NA,NA,died
after,1,2900,144,7.7,37,no,absent,survived
after,7,149,122,3.3,30,NA,absent,died
after,1,2880,494,4.8,NA,NA,NA,died
after,1,5490,245,13.1,NA,NA,absent,died
after,0,4620,166,11.2,33,yes,NA,died
after,2,3620,319,9.5,28,no,absent,died
after,1,120,41,6,NA,NA,NA,survived
after,1,3300,117,14.1,48,NA,NA,survived
after,3,3620,164,6.5,36,NA,absent,died
after,1,14900,267,32.8,37,yes,present,died
after,0,1385,121,3,NA,NA,NA,died
before,1,4560,156,33.6,33,yes,NA,died
after,0,5080,332,4.6,37,yes,NA,survived
after,4,5980,492,4.1,40,yes,absent,died
after,2,4120,572,12,46,no,absent,died
after,2,2040,584,8.3,27,NA,absent,survived
after,0,1425,303,5.1,19,no,NA,died
after,5,2540,700,5.5,38,yes,present,died
after,2,4440,462,10,35,yes,absent,survived
after,0,1320,336,17.6,46,yes,NA,died
after,0,133,76,9.5,NA,NA,NA,survived
after,1,1220,287,6.1,39,no,NA,survived
after,1,1640,470,9.9,20,NA,NA,died
after,1,14080,990,8.2,41,NA,present,died
after,0,153,160,10.7,NA,NA,NA,survived
after,3,434,124,6.6,NA,NA,absent,survived
after,0,4800,152,12.1,35,NA,NA,died
after,1,332,76,8.7,42,no,NA,survived
after,0,251,155,5.5,33,NA,NA,survived
after,0,487,101,8.3,35,NA,NA,survived
after,2,1530,129,5.7,NA,NA,absent,survived
after,0,158,40,5.4,NA,NA,NA,survived
after,4,13960,860,7.2,39,yes,present,died
after,2,30480,960,15,43,yes,present,died
after,0,746,126,4.9,NA,NA,NA,survived
after,4,474,126,4.9,39,no,absent,survived
after,1,8570,365,17.5,46,yes,NA,died
after,1,28660,1300,17,44,NA,present,died
after,2,5560,1020,4.8,35,yes,present,survived
after,0,7440,290,21.3,39,yes,NA,died
after,1,2540,255,7.8,NA,yes,NA,died
after,0,1125,87,6.4,30,yes,NA,died
after,4,2140,247,9.3,39,yes,absent,survived
after,2,400,47,24.8,42,NA,absent,died
after,0,NA,NA,NA,NA,NA,NA,survived
after,1,4600,305,10.5,48,no,NA,died
after,0,382,860,15.1,41,no,present,died
after,0,8140,2080,20.7,NA,NA,present,died
after,1,15660,322,24.8,NA,NA,present,died
after,1,3490,231,16.3,34,no,NA,died
after,1,286,50,4.8,29,yes,NA,died
after,2,27160,1240,19.7,38,yes,present,died
after,0,242,83,7.3,NA,NA,NA,survived
after,2,36,93,8.4,13,NA,absent,died
after,2,1120,139,5.7,32,yes,absent,died
before,0,5400,260,9.1,19,NA,NA,died
after,0,375,103,8.3,NA,NA,NA,survived
after,7,8880,920,5.1,NA,NA,present,died
after,4,26560,1160,39,33,yes,present,died
after,3,1280,185,6.2,NA,NA,absent,survived
after,6,1000,242,3.4,NA,NA,absent,survived
after,1,845,383,5.7,43,NA,NA,died
after,0,1660,62,4.8,NA,NA,NA,survived
after,0,1740,80,39.8,NA,NA,NA,died
after,2,1700,339,4.8,26,yes,absent,survived
before,2,4760,480,5.4,NA,NA,absent,survived
before,0,119,52,5.1,37,yes,NA,survived
after,0,316,162,9.7,37,yes,NA,survived
before,0,NA,NA,NA,NA,NA,NA,died
before,0,784,258,9.2,21,no,NA,died
after,3,34960,2080,7.9,39,yes,present,died
after,6,493,169,5.4,32,yes,absent,died
after,0,1507,133,8.4,41,no,NA,died
after,1,53,48,7.2,27,no,NA,survived
after,1,998,353,6.2,34,NA,absent,died
after,0,1012,94,5.8,NA,NA,NA,died
after,0,167,69,6,NA,NA,NA,survived
before,0,250,73,9.6,35,NA,NA,died
after,1,9800,1400,NA,NA,NA,present,died
after,7,911,626,NA,NA,NA,absent,survived
NA,10,NA,200,NA,NA,NA,NA,survived
before,3,9700,1400,NA,NA,NA,present,died
after,2,20000,733,NA,NA,NA,present,died
before,1,612,103,NA,NA,NA,NA,died
after,2,5987,347,NA,NA,NA,absent,died
before,1,9960,1100,NA,NA,NA,present,died
before,1,195,53,NA,NA,NA,NA,survived
before,1,27659,773,NA,NA,NA,present,died
before,2,14000,600,NA,NA,NA,present,survived
before,0,130,73,NA,NA,NA,NA,died
NA,0,9000,490,NA,NA,NA,NA,died
NA,3,22900,1066,NA,NA,NA,present,died
before,0,2930,250,NA,NA,NA,NA,survived
after,0,117,60,NA,NA,NA,NA,survived
before,1,45800,2266,NA,NA,NA,present,died
before,1,31000,1600,NA,NA,NA,present,died
after,0,1760,267,NA,NA,NA,NA,survived
before,1,37000,1300,NA,NA,NA,present,died
after,3,650,233,NA,NA,NA,absent,died
after,5,22000,2066,NA,NA,NA,present,died
before,1,325,193,NA,NA,NA,NA,died
after,2,3775,333,NA,NA,NA,absent,survived
before,4,7289,633,NA,NA,NA,present,died
after,5,10870,800,NA,NA,NA,present,died
before,1,1890,367,NA,NA,NA,NA,survived
after,1,6380,900,NA,NA,NA,present,died
after,1,521,193,NA,NA,NA,NA,died
after,1,2670,467,NA,NA,NA,NA,survived
before,1,1300,633,NA,NA,NA,NA,survived
before,1,11980,800,NA,NA,NA,present,died
before,7,1497,600,NA,NA,NA,absent,survived
before,7,1040,400,NA,NA,NA,absent,survived
before,0,553,167,NA,NA,NA,NA,survived
before,0,2538,367,NA,NA,NA,NA,died
after,3,5400,1470,NA,NA,NA,present,died
after,6,3970,390,NA,NA,NA,absent,survived
before,1,514,200,NA,NA,NA,NA,survived
before,3,8720,410,NA,NA,NA,absent,died
after,1,137,60,NA,NA,NA,NA,died
before,2,5730,203,NA,NA,NA,absent,died
NA,3,10280,1143,NA,NA,NA,present,died
before,0,208,70,NA,NA,NA,NA,survived
after,3,1690,180,NA,NA,NA,absent,died
before,1,976,273,NA,NA,NA,NA,died
after,2,4360,1033,NA,NA,NA,present,died
before,3,1100,223,NA,NA,NA,absent,died
after,2,13670,400,NA,NA,NA,present,died
after,1,2990,600,NA,NA,NA,NA,survived
after,1,13930,1170,NA,NA,NA,present,died
before,5,260,267,NA,NA,NA,absent,died
before,5,1150,233,NA,NA,NA,absent,died
before,10,NA,167,NA,NA,NA,NA,died
before,4,781,167,NA,NA,NA,absent,survived
after,3,1237,420,NA,NA,NA,absent,survived
after,0,78,67,NA,NA,NA,NA,survived
after,1,1562,323,NA,NA,NA,NA,survived
after,1,78,63,NA,NA,NA,NA,survived
after,7,325,183,NA,NA,NA,absent,survived
after,0,65,100,NA,NA,NA,NA,survived
before,1,846,230,NA,NA,NA,NA,died
before,2,9957,567,NA,NA,NA,absent,died
before,0,260,200,NA,NA,NA,NA,survived
after,0,5792,400,NA,NA,NA,NA,died
after,3,6960,317,NA,NA,NA,absent,survived
after,4,2930,183,NA,NA,NA,absent,died
before,3,1760,183,NA,NA,NA,absent,died
before,1,1630,240,NA,NA,NA,NA,died
before,14,NA,187,NA,NA,NA,NA,survived
after,6,5857,687,NA,NA,NA,present,died
after,0,247,87,NA,NA,NA,NA,died
after,7,332,93,NA,NA,NA,absent,died
after,1,924,83,NA,NA,NA,NA,survived
after,3,1887,273,NA,NA,NA,absent,survived
after,1,11975,597,NA,NA,NA,NA,survived
before,2,9241,460,NA,NA,NA,absent,survived
before,0,104,60,NA,NA,NA,NA,died
after,2,5011,330,NA,NA,NA,absent,died
after,1,885,110,NA,NA,NA,NA,survived
before,0,3905,187,NA,NA,NA,NA,died
after,1,3905,213,NA,NA,NA,NA,survived
after,4,3060,480,NA,NA,NA,absent,died
after,2,4328,393,NA,NA,NA,absent,survived
before,5,1500,310,NA,NA,NA,absent,survived
after,0,436,63,NA,NA,NA,NA,survived
after,0,560,63,NA,NA,NA,NA,survived
after,3,879,367,NA,NA,NA,absent,died
before,3,234,63,NA,NA,NA,absent,survived
after,1,3580,223,NA,NA,NA,absent,survived
after,9,NA,80,NA,NA,NA,NA,died
after,0,241,143,NA,NA,NA,NA,survived
after,1,2200,157,NA,NA,NA,absent,died
after,0,2811,223,NA,NA,NA,NA,survived
after,0,950,93,NA,NA,NA,NA,survived
before,2,4686,503,NA,NA,NA,absent,died
before,2,14122,897,NA,NA,NA,present,died
after,5,729,310,NA,NA,NA,absent,died
after,5,1170,240,NA,NA,NA,absent,survived
before,8,NA,1430,NA,NA,NA,present,died
after,0,18160,940,NA,NA,NA,present,died
before,0,566,123,NA,NA,NA,NA,died
after,20,NA,143,NA,NA,NA,NA,died
after,1,4120,167,NA,NA,NA,NA,died
before,10,NA,1430,NA,NA,NA,present,died
before,7,3644,493,NA,NA,NA,present,died
before,7,62997,2533,NA,NA,NA,present,died
after,0,3059,250,NA,NA,NA,NA,died
after,0,644,107,NA,NA,NA,NA,survived
before,0,19264,1033,NA,NA,NA,present,died
after,1,254,73,NA,NA,NA,NA,survived
before,14,NA,897,NA,NA,NA,present,died
after,1,7094,457,NA,NA,NA,absent,died
after,3,2284,360,NA,NA,NA,absent,died
after,1,605,83,NA,NA,NA,NA,survived
after,7,2877,230,NA,NA,NA,present,died
after,5,885,90,NA,NA,NA,absent,died
before,4,5790,753,NA,NA,NA,present,died
before,1,267,57,NA,NA,NA,NA,survived
before,2,2020,277,NA,NA,NA,absent,died
after,0,160,40,NA,NA,NA,NA,survived
after,1,722,103,NA,NA,NA,NA,survived
after,5,9371,400,NA,NA,NA,present,died
after,2,6508,336,NA,NA,NA,absent,died
after,5,3124,376,NA,NA,NA,absent,died
before,1,NA,67,NA,NA,NA,NA,survived
after,3,15000,1190,NA,NA,NA,present,died
before,2,4700,250,NA,NA,NA,absent,survived
after,2,7750,387,NA,NA,NA,absent,survived
after,0,612,97,NA,NA,NA,NA,survived
before,4,12040,433,NA,NA,NA,present,died
after,10,NA,147,NA,NA,NA,NA,survived
after,0,482,60,NA,NA,NA,NA,died
after,1,462,100,NA,NA,NA,NA,survived
after,6,1630,423,NA,NA,NA,absent,died
after,1,2020,163,NA,NA,NA,NA,died
after,3,38000,940,NA,NA,NA,present,died
after,NA,650,237,NA,NA,NA,NA,died
after,0,25380,1109,NA,NA,NA,present,died
after,2,11650,467,NA,NA,NA,present,died
after,5,20370,2000,NA,NA,NA,present,died
after,2,7810,1730,NA,NA,NA,present,survived
after,1,78,113,NA,NA,NA,NA,survived
after,NA,364,93,NA,NA,NA,NA,died
after,6,1300,600,NA,NA,NA,absent,died
before,1,5920,140,NA,NA,NA,NA,survived
before,1,52,133,NA,NA,NA,NA,died
after,1,26400,630,NA,NA,NA,present,died
after,3,3337,650,NA,NA,NA,absent,survived
after,1,3960,506,NA,NA,NA,NA,died
after,0,2150,253,NA,NA,NA,NA,died
after,7,19720,2160,NA,NA,NA,present,died
after,2,280,120,NA,NA,NA,absent,survived
after,5,24730,1130,NA,NA,NA,present,died
after,8,NA,290,NA,NA,NA,NA,died
after,2,12500,523,NA,NA,NA,present,died
before,2,1757,333,NA,NA,NA,absent,died
after,1,5206,383,NA,NA,NA,NA,died
after,2,4600,392,NA,NA,NA,absent,died
after,0,4510,736,NA,NA,NA,present,died
after,1,1430,719,NA,NA,NA,present,survived
after,4,5792,440,NA,NA,NA,absent,died
after,6,10150,1730,NA,NA,NA,present,died
after,3,9890,460,NA,NA,NA,present,died
